target_rate,actual_rps,success,duration_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,max_itl_ms,mean_e2e_ms,median_e2e_ms,p99_e2e_ms,input_tps,output_tps,peak_output_tps,concurrency
0.25,0.38,32,83.60,1199.73,1120.19,1670.96,10.08,6.06,80.40,8.95,4.78,1045.03,2279.10,2100.72,3486.06,2388.71,58.42,377.00,0.87
0.5,0.77,32,41.81,1369.20,1293.40,2399.33,13.11,8.49,77.81,10.89,5.70,2072.46,2760.44,2751.51,4750.90,4775.56,116.81,660.00,2.11
1.0,1.48,32,21.64,1725.01,1739.50,2716.19,18.26,16.27,51.67,28.03,6.82,2691.79,4267.91,3566.53,8252.43,9224.25,225.66,566.00,6.31
1.5,1.71,32,18.73,4586.19,4569.42,6698.62,67.09,50.64,281.79,47.42,11.18,9251.24,11617.15,10765.13,18340.54,10658.89,260.74,2185.00,19.85
2.0,2.01,32,15.91,8154.45,7335.57,12835.13,15.21,13.09,53.57,15.21,11.25,4764.08,10296.59,9720.81,15534.87,12552.35,307.04,1960.00,20.71
3.0,2.09,32,15.30,9679.15,9347.07,12674.03,8.03,8.47,22.72,12.78,10.26,3077.79,10948.78,10710.40,14075.81,13047.87,319.20,1574.00,22.90
4.0,2.05,32,15.60,10945.96,10632.52,13166.11,5.41,5.29,10.41,11.05,10.17,164.63,11850.36,11802.28,13974.15,12802.95,313.15,1233.00,24.31
