target_rate,actual_rps,success,duration_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,max_itl_ms,mean_e2e_ms,median_e2e_ms,p99_e2e_ms,input_tps,output_tps,peak_output_tps,concurrency
0.25,0.28,32,112.85,3790.14,3582.89,5432.71,25.81,10.58,117.29,23.74,6.25,8324.63,6696.02,5695.20,15528.85,4654.70,43.28,658.00,1.90
0.5,0.55,32,58.62,3773.25,3602.31,6672.44,26.27,16.73,107.92,31.52,6.25,4489.41,6875.51,6679.54,12265.12,8960.61,83.31,584.00,3.75
1.0,0.83,32,38.65,14072.65,14563.09,23505.83,33.76,18.52,249.10,35.31,9.04,19648.91,18537.67,18696.43,29731.65,13589.78,126.35,1949.00,15.35
1.5,0.94,32,34.09,17150.08,18123.24,25278.36,31.71,16.61,193.70,49.57,10.07,14502.42,22324.23,21572.74,30852.32,15409.69,143.28,1450.00,20.96
2.0,1.02,32,31.41,19452.93,19074.88,27210.36,20.31,15.19,144.52,25.48,9.45,17327.39,22422.22,21843.64,30389.31,16723.90,155.50,2036.00,22.84
3.0,1.03,32,30.96,20524.43,19931.54,25424.11,26.29,22.67,107.69,28.36,10.63,12170.06,24198.55,23876.43,30124.58,16964.61,157.73,1505.00,25.01
