target_rate,actual_rps,success,duration_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,max_itl_ms,mean_e2e_ms,median_e2e_ms,p99_e2e_ms,input_tps,output_tps,peak_output_tps,concurrency
0.25,0.22,32,144.58,628.40,644.87,823.39,4.99,4.60,8.17,5.15,4.59,390.89,1379.30,1459.89,1976.68,699.15,33.78,346.00,0.31
0.5,0.44,32,72.29,630.50,637.47,789.60,6.06,4.87,11.53,6.63,4.69,650.14,1517.84,1480.45,2710.96,1398.72,67.56,525.00,0.67
1.0,0.88,32,36.16,669.05,627.87,1101.55,8.39,6.93,23.44,9.59,4.84,725.39,1873.86,1660.14,3825.76,2796.62,135.05,580.00,1.66
1.5,1.33,32,24.12,755.23,652.49,1434.78,10.94,8.64,34.77,12.15,5.41,1140.51,2172.62,1939.33,4538.32,4190.26,202.46,722.00,2.88
2.0,1.74,32,18.39,1077.74,863.16,2193.80,12.50,10.97,37.52,14.13,6.96,1209.28,2816.80,2376.90,5801.05,5497.99,265.55,1057.00,4.90
3.0,2.43,32,13.19,1261.93,1123.06,2579.50,16.51,12.18,41.57,20.74,9.19,1777.46,3564.85,3590.24,6513.21,7664.04,370.17,1498.00,8.65
4.0,3.01,32,10.64,1833.73,1837.66,3732.52,19.89,20.01,40.06,35.68,8.16,2010.74,4683.16,5179.09,8191.77,9499.44,458.97,780.00,14.08
