target_rate,actual_rps,success,duration_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,max_itl_ms,mean_e2e_ms,median_e2e_ms,p99_e2e_ms,input_tps,output_tps,peak_output_tps,concurrency
0.25,0.38,32,83.61,1251.36,1212.22,1941.46,10.37,6.75,56.47,10.11,5.59,1143.11,2482.61,2233.18,4540.07,2388.25,58.42,463.00,0.95
0.5,0.77,32,41.82,1430.09,1351.34,2437.51,13.72,9.20,82.07,11.67,5.98,2047.99,2919.72,2883.86,4867.27,4774.49,116.79,621.00,2.23
1.0,1.50,32,21.36,2010.48,1848.72,3789.45,25.90,22.56,70.61,35.54,7.48,3216.03,5387.18,4998.13,10576.97,9346.82,228.66,933.00,8.07
1.5,1.65,32,19.39,4079.88,3974.56,6902.55,57.58,57.41,157.50,62.61,9.35,4868.24,11324.64,11132.04,18161.08,10299.33,251.95,1744.00,18.69
2.0,1.65,32,19.41,10849.96,9943.17,15434.22,16.08,15.51,69.06,20.77,9.69,8438.78,13399.79,12737.51,18706.60,10286.47,251.62,1512.00,22.09
3.0,1.75,32,18.31,11648.28,11075.12,14476.47,13.96,14.82,21.47,18.31,9.81,508.31,13889.63,13605.25,17638.70,10904.48,266.73,1781.00,24.27
4.0,2.03,32,15.77,10765.30,10395.73,12989.44,9.28,9.63,13.93,12.92,8.63,217.61,12240.81,12078.85,14990.29,12664.02,309.74,2285.00,24.84
