target_rate,actual_rps,success,duration_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,max_itl_ms,mean_e2e_ms,median_e2e_ms,p99_e2e_ms,input_tps,output_tps,peak_output_tps,concurrency
0.25,0.22,32,144.60,708.91,704.34,873.80,5.98,5.52,11.57,6.05,5.26,331.63,1591.73,1677.43,2271.06,699.30,33.78,379.00,0.35
0.5,0.44,32,72.30,659.65,647.37,1021.56,6.70,5.55,12.34,7.51,5.15,665.45,1666.10,1636.86,3143.54,1398.49,67.55,398.00,0.74
1.0,0.88,32,36.17,734.47,712.74,1111.03,9.80,7.84,32.77,11.58,5.66,786.98,2123.42,2011.07,4586.34,2794.82,135.05,458.00,1.88
1.5,1.30,32,24.53,1131.89,907.75,2163.81,17.36,14.88,63.76,17.50,6.98,1761.59,3367.83,3008.34,7233.30,4122.56,199.14,1000.00,4.39
2.0,1.66,32,19.26,1269.11,1249.64,2252.73,19.66,14.18,55.42,21.46,7.65,2373.05,3906.58,3649.79,7803.85,5247.31,253.56,1334.00,6.49
3.0,2.32,32,13.79,2132.24,2316.00,4369.05,28.06,28.35,55.29,47.87,7.94,1965.82,6273.28,6961.92,11163.67,7330.17,354.10,848.00,14.55
4.0,2.73,32,11.71,2623.17,2921.66,4326.08,33.51,28.37,95.55,31.05,9.45,6057.46,6825.39,7708.61,10608.46,8639.64,417.20,2054.00,18.66
